Primary Name	Aliases	Gender	BirthDateRaw	BirthYear	BirthMonth	BirthDay	DeathDateRaw	DeathYear	DeathMonth	DeathDay	Occupation	BirthPlaceRaw	DeathPlaceRaw
Laissac	Guillaume Ayroles Desangles  Laissac ::Guillaume Ayroles Desangles de Laissac	Male											
Laleu	Guillaume-Claude Laleu	Male	1712	1712-00-00			1775	1775-00-00			notary		
Lambert Antoine-Simon	Antoine-Simon Lambert 	Male	1743	1743-00-00			1824	1824-00-00					
Lambert Johann Heinrich	Johann Heinrich (Jean-Henri) Lambert 	Male	1728	1728-00-00			1777	1777-00-00			mathematician, physicist, philosopher and astronomer	"Mülhausen, (currently Alsace, France; attached to Switzerland in 1728)"	Berlin, Prussia
Laplace	Pierre-Simon Laplace marquis de Laplace Pierre Simon Laplace, marquis de Laplace	Male	1749	1749-00-00			1827	1827-00-00			mathematician and astronomer	Beaumont-en-Auge, Normandy, France	Paris, France
Laporte	Joseph Laporte abbé de Laporte 	Male	1713	1713-00-00			1779	1779-00-00			litterateur		
Lassone	Joseph-Marie-François Lassone::Joseph-Marie-François de Lassone	Male	1717	1717-00-00			1788	1788-00-00					
Laus de Boissy	M.A. dit Louis de Laus de Boissy::Louis de Laus de Boissy	Male	1747	1747-00-00			1806 ?	1806-00-00					
Lavoisier	Antoine-Laurent Lavoisier::Antoine-Laurent de Lavoisier	Male	1743	1743-00-00			1794	1794-00-00			chimist	Paris, France	Paris, France
Le Breton	André-François Le Breton	Male	1708	1708-00-00			1779	1779-00-00			publisher	Paris, France	Paris, France
Le Brigant	Jacques Le Brigant	Male	1720	1720-00-00			1804	1804-00-00					
Le Brun Ponce-Denis Ecouchard	Ponce-Denis Ecouchard Le Brun dit Le Brun Pindare  Ponce-Denis Ecouchard Le Brun, dit Le Brun Pindare	Male	1729	1729-00-00			1807	1807-00-00					
Le Brun	 Le Brun	Male											
Le Canu	Pierre Le Canu	Male	c.1745	1745-00-00			1795	1795-00-00					
Le Cozic	Yves Le Cozic	Male	1718	1718-00-00			c.1790	1790-00-00			professor of mathematics		
Le Dran	Nicolas-Louis Le Dran	Male	1686	1686-00-00			1774	1774-00-00					
Le Sage Georges-Louis II	Georges-Louis II Le Sage 	Male	1724	1724-00-00			1803	1803-00-00			physicist	Geneva, Switzerland	Geneva, Switzerland
Le Sage Guillaume	Guillaume Le Sage 	Male	1723	1723-00-00			1799	1799-00-00					
Leduc de Corneille	Jean-Baptiste Leduc de Corneille	Male											
Lefevre	 Lefevre	Male											
Lefranc de Pompignan	Jean-Georges Lefranc de Pompignan évêque du Puy 	Male	1715	1715-00-00			1790	1790-00-00			clergyman, archbishop of Vienne		
Lemery (L'Emeri)	Madeleine-Catherine Lemery (L'Emeri)::Madeleine-Catherine Lemery, Madeleine-Catherine L'Emeri	Female	1707	1707-00-00			?						
Lenoir	Jean-Jacques Lenoir	Male									contrôleur général		
Leroux	Charles Leroux	Male									rédacteur du Journal d'éducation		
Lesenne	 Lesenne abbé Lesenne pauvre diable	Male											
Lespinasse	Julie-Jeanne-Eléonore Lespinasse::Mademoiselle de Lespinasse	Female	1732	1732-00-00			1776	1776-00-00			Parisian salonnière	Lyon, France	Paris, France
Ligne	Charle-Joseph Ligne prince de Ligne 	Male	1735	1735-00-00			1814	1814-00-00					
Linguet	Simon-Nicolas-Henri Linguet	Male	1736	1736-00-00			1794	1794-00-00					
Lombard	Jean-Louis Lombard	Male	1723	1723-00-00			1794	1794-00-00					
Lorgna	Antonio Maria Lorgna	Male	1736	1736-00-00			1796	1796-00-00					
Louis XVI	 Louis XVI roi de France 	Male	1754	1754-00-00			1793	1793-00-00			King of France and Navarre (10 May 1774 – 1 October 1791)	Palace of Versailles, France	Place de la Révolution, Paris, France
Luce de Lancival	Jean-Charles-Julien Luce de Lancival	Male	1764	1764-00-00			1810	1810-00-00					
Luchet	Jean-Pierre-Louis Luchet marquis de Luchet Jean-Pierre-Louis de La Roche du Maine, marquis de Luchet	Male	1740	1740-00-00			1792	1792-00-00			journalist		
Ludot	Jean-Baptiste Ludot	Male	1703	1703-00-00			1771	1771-00-00			scholar, lawyer	Troyes, France	
Luneau de Boisjermain	Pierre-Joseph-François Luneau de Boisjermain	Male	1732	1732-00-00			1801	1801-00-00					
Macquer	Pierre Joseph Macquer	Male	1718	1718-00-00			1784	1784-00-00					
Magallon	Fernando Magallon::Fernando de Magallon	Male											
Maillet du Boulay	Charles-Nicolas Maillet du Boulay	Male	1729	1729-00-00			1769	1769-00-00					
Malesherbes	Chrétien-Guillaume  Malesherbes::Chrétien-Guillaume de Lamoignon de Malesherbes	Male	1721	1721-00-00			1794	1794-00-00			government official, minister, and afterwards counsel for the defence of Louis XVI	Paris, France	Paris, France
Mallet Fredric	Fredric Mallet	Male	1728	1728-00-00			1797	1797-00-00					
Mandinet	 Mandinet	Male											
Marguerie	Jean-Jacques Marguerie::Jean-Jacques de Marguerie	Male	1742	1742-00-00			1779	1779-00-00					
Mariette	Pierre-Jean Mariette	Male	1694	1694-00-00			1774	1774-00-00					
Marin	François-Louis-Claude Marin	Male	1721	1721-00-00			1809	1809-00-00					
Marmontel	Jean-François Marmontel	Male	1723	1723-00-00			1799	1799-00-00			historian and writer, a member of the Encyclopediste movement	Bort, Limousin (today in Corrèze), France	Abloville, France
Marsson (Marson)	Jean-Gabriel Marsson (Marson)::Jean-Gabriel Marsson, Jean-Gabriel Marson	Male	1725	1725-00-00			c.1787	1787-00-00			mathematician		
Martin de Choisy	Pierre-Jacques-Durand-Eustache Martin de Choisy	Male	1756	1756-00-00			1819	1819-00-00					
Massieu	Jean-Baptiste Massieu 	Male	1743	1743-00-00			1818	1818-00-00					
Mauduyt de la Varenne	Pierre-Jean-Claude Mauduyt de la Varenne	Male	c.1730	1730-00-00			1792	1792-00-00					
Maupertuis	Pierre-Louis Maupertuis::Pierre-Louis Moreau de Maupertuis	Male	1698	1698-00-00			1759	1759-00-00			mathematician, philosopher and man of letters	Saint-Malo, France	Basel, Switzerland
Maurepas	Jean-Frédéric Maurepas comte de Maurepas Jean-Frédéric Phélypeaux, comte de Maurepas, ean-Frédéric Phélypeaux, Count of Maurepas	Male	1701	1701-00-00			1781	1781-00-00			government official, chief adviser to King Louis XVI	Versailles, France	
Me(s)nilglaise Madame de	 Me(s)nilglaise           ::Madame de Me(s)nilglaise, Mme de Me(s)nilglaise	Female											
Me(s)nilglaise	Alphonse Me(s)nilglaise marquis Droullin de Me(s)nilglaise 	Male	1732	1732-00-00			1814	1814-00-00					
Melanderhjelm	Daniel Melanderhjelm	Male	1726	1726-00-00			1810	1810-00-00			mathematician and astronomer	Stockholm, Sweden	Stockholm, Sweden
Mercadier	Jean-Baptiste Mercadier	Male	1748	1748-00-00			1816	1816-00-00					
Mercier	Barthélemy Mercier  abbé de Saint-Léger Barthélemy Mercier, abbé de Saint-Léger, dit Mercier de Saint-Léger	Male	1734	1734-00-00			1799	1799-00-00			bibliographer	Lyon, France	Paris, France
Meslin	Antoine-Jean Meslin	Male	1725	1725-00-00			1791	1791-00-00					
Messier	Charles Messier	Male	1730	1730-00-00			1817	1817-00-00					
Michaelis	Johann David Michaelis	Male	1717	1717-00-00			1791	1791-00-00			biblical scholar and teacher	Halle, Germany	Göttingen, Germany
Milly	Nicolas-Christian Milly comte de Milly Nicolas-Christian de Thy, comte de Milly	Male	1728	1728-00-00			1748	1748-00-00					
Mimeure	Claude Mimeure marquis de Mimeure Claude Fyot, marquis de Mimeure	Male											
Molines	Jacques Molines	Male	1749	1749-00-00			1827	1827-00-00					
Moluquere	 Moluquere	Male											
Moncrif	François-Augustin Moncrif::François-Augustin Paradis de Moncriff	Male	1687	1687-00-00			1770	1770-00-00			secretaries, royal censor, academician		
Monge	Gaspard Monge	Male	1746	1746-00-00			1818	1818-00-00					
Montausier	Anne-Marie-André Montausier comte puis marquis de Montausier Anne-Marie-André de Crussol d'Uzès, comte de Montausier, marquis de Montausier	Male	1738	1738-00-00			?						
Montbarrey (Montbarey)	Alexandre-Marie-Léonor Montbarrey (Montbarey) prince de Montbarrey Alexandre-Marie-Léonor de Saint-Mauris, prince de Montbarrey, prince de Montbarey	Male	1732	1732-00-00			1796	1796-00-00					
Montesquieu	Charles-Louis Montesquieu baron de Montesquieu Charles-Louis de Secondat, Charles-Louis de Secondat, baron de La Brède et de Montesquieu	Male	1689	1689-00-00			1755	1755-00-00			social commentator and political thinker	La Brède, Gironde, France	Paris, France
Montmorin	Armand-Marc Montmorin comte de Montmorin 	Male	1746	1746-00-00			1792	1792-00-00					
Moreau	Jean-Nicolas  Moreau	Male	1717	1717-00-00			1803	1803-00-00					
Morellet	André Morellet	Male	1727	1727-00-00			1819	1819-00-00			economist and writer	Lyon, France	Paris, France
Morenas	 Morenas	Male											
Mornay comtesse de	Alexandrine-Geneviève Mornay comtesse de Mornay Alexandrine-Geneviève d'Hornoy, comtesse de Mornay	Female											
Ray	 Ray père Ray 	Male											
Murr	Christoph Gottlieb Murr::Christoph Gottlieb von Murr	Male	1733	1733-00-00			1811	1811-00-00					
Mustel	Nicolas-Alexandre Mustel	Male	1736	1736-00-00			1806	1806-00-00					
Nau	François Nau	Male	1715	1715-00-00			?				author, playwright		
Necker Louis	Louis Necker ::dit Necker de Germagny (Germany)	Male	1730	1730-00-00			1804	1804-00-00			mathematician	Geneva, Switzerland	Cologny,  Switzerland
Necker Suzanne	Suzanne Necker  épouse de Jacques Necker, mère de Madame de Staël Suzanne Curchod	Female	1739	1739-00-00			1794	1794-00-00			parisian salonist and writer		Beaulieu Castle (Lausanne), Switzerland
Nicolay	Ludwig Heinrich Nicolay::Ludwig Heinrich von Nicolay	Male	1737	1737-00-00			1820	1820-00-00					
Nivernais	Louis-Jules Nivernais duc de Nivernais Louis-Jules Barbon Mancini-Mazarini, duc de Nivernais	Male	1716	1716-00-00			1798	1798-00-00					
Nort	Nicolas-Agnès-François Nort::Nicolas-Agnès-François de Nort	Male	c.1720	1720-00-00			1794	1794-00-00					
Nérot	Laurent Nérot	Male	1751	1751-00-00			?						
Odar	Michaïl Odar	Male	1762	1762-00-00			1773	1773-00-00					
Orléans marquis et marquise d'	 Orléans  marquis et marquise d'Orléans 	Male											
Ostervald	Frédéric-Samuel Ostervald	Male	1713	1713-00-00			1795	1795-00-00			historian and geographer	Neuchâtel, Switzerland	Neuchâtel, Switzerland
Palissot de Montenoy	Charles Palissot de Montenoy	Male	1730	1730-00-00			1814	1814-00-00			author, playwright	Nancy, France	Paris, France
Panckoucke	Charles-Joseph Panckoucke	Male	1736	1736-00-00			1798	1798-00-00			writer and publisher	Lille, France	Paris, France
Panine	Nikita Ivanovitch Panine comte de Panine Nikita Ivanovich Panin	Male	1718	1718-00-00			1783	1783-00-00			statesman and political mentor to Catherine the Great	Gda_sk, Poland	Italy
Perez Bayer	Francisco Perez Bayer	Male	1711	1711-00-00			1794	1794-00-00					
Perronet	Jean-Rodolphe Perronet	Male	1708	1708-00-00			1794	1794-00-00					
Phipps	Constantine John Phipps second baron Mulgrave 	Male	1744	1744-00-00			1792	1792-00-00					
Pictet	François-Pierre Pictet	Male	1728	1728-00-00			1798	1798-00-00					
Pigalle	Jean-Baptiste Pigalle	Male	1714	1714-00-00			1785	1785-00-00					
Portelance	Charles-Louis Portelance	Male	1721	1721-00-00			1818	1818-00-00					
Poulletier de la Salle	François-Paul-Lyon Poulletier de la Salle	Male	1719	1719-00-00			1788	1788-00-00					
Prades	Jean-Martin Prades  abbé de Prades Jean-Martin de Prades, abbé de Prades	Male	1724	1724-00-00			1782	1782-00-00			Catholic theologian	Castelsarrasin, Tarn-et-Garonne, France	Glogau, Poland
Prevost	Pierre Prevost 	Male	1751	1751-00-00			1839	1839-00-00					
Quesnay	François Quesnay	Male	1694	1694-00-00			1774	1774-00-00			economist of the Physiocratic school	Méré near Versailles, France	Versailles, France
Rallier	Louis-Antoine-Esprit Rallier	Male	1749	1749-00-00			1829	1829-00-00					
Rameau	Jean-Philippe Rameau 	Male	1683	1683-00-00			1764	1764-00-00			composers and music theorists of the Baroque era	Dijon, France	Paris, France
Rapedius de Berg	Ferdinand-Pierre Rapedius de Berg seigneur de Berg au Luxembourg Ferdinand Pierre Rapedius de Berg, seigneur de Berg au Luxembourg	Male	1740	1740-00-00			1800	1800-00-00			lawyer	Brussels, Belgium	Vienna, Austria
Ratte	Etienne-Hyacinthe Ratte::Etienne-Hyacinthe de Ratte	Male	1722	1722-00-00			1805	1805-00-00			mathematician and astronomer	Montpellier, France	Montpellier, France
Razoumovski	Kirill  Razoumovski comte Razoumovski Kirill Grigorievitch	Male	1728	1728-00-00			1803	1803-00-00					
Rey	Marc-Michel Rey	Male	1720	1720-00-00			1780	1780-00-00					
Ribotte-Charon	Jean Ribotte-Charon	Male	1730 env.	1730 env.-00-00			1805 env.	1805-00-00					
Riccati	Vincenzo Riccati ::Riccati Vincenzo le fils	Male	1707	1707-00-00			1775	1775-00-00					
Rochefort d'Ally Madame	Jeanne-Louise Rochefort d'Ally  comtesse de Rochefort d'Ally, épouse de Jacques de Rochefort d'Ally  Jeanne-Louise Pavée de Provenchères, comtesse de Rochefort d'Ally	Female	1749	1749-00-00			fin1778 ou début 1779	1779-00-00					
Rochefort d'Ally	Jacques Rochefort d'Ally chevalier de Rochefort d'Ally, dit comte de Rochefort d'Ally 	Male	1738	1738-00-00			?						
Rochon	Alexis-Marie Rochon	Male	1741	1741-00-00			1817	1817-00-00					
Rohan	Louis-René-Edouard Rohan évêque de Stasbourg et cardinal en 1778 Louis-René-Edouard de Rohan-Guéméné, dit le prince Louis de Rohan	Male	1734	1734-00-00			1803	1803-00-00			clerical official (bishop of Stasbourg then cardinal)		
Rossignol	Jean-Joseph Rossignol	Male	1726	1726-00-00			1817	1817-00-00					
Roubin	Adrien Roubin chevalier de Roubin 	Male	1715	1715-00-00			1793	1793-00-00					
Roucher	Jean-Antoine Roucher	Male	1745	1745-00-00			1794	1794-00-00					
Rousseau J.-J.	Jean-Jacques Rousseau 	Male	1712	1712-00-00			1778	1778-00-00			philosopher, writer, and composer	Geneva, Switzerland	Ermenonville, France
Rousseau Pierre	Pierre Rousseau	Male	1716	1716-00-00			1785	1785-00-00			journalist and playwright	Toulouse, France	
Roussier	Pierre-Joseph Roussier abbé Roussier 	Male	1716	1716-00-00			1792	1792-00-00			music theorists	Marseille, France	Ecouis, France
Ruault	Nicolas Ruault::M. Écrlinf	Male	c.1742	1742-00-00			1828	1828-00-00			librarian	Evreux, France	
Rutledge (Rutlidge)	Jean-Jacques (John James) Rutledge (Rutlidge)	Male	1742	1742-00-00			1794	1794-00-00					
Rémy	Alexandre-Louis Rémy	Male											
Sabbathier	François Sabbathier	Male	1735	1735-00-00			1807	1807-00-00					
Saboureux de Fontenay	 Saboureux de Fontenay sourd-muet 	Male											
Saint-Ange	Ange-François Saint-Ange ::Ange-François Fariau de Saint-Ange	Male	1747	1747-00-00			1810	1810-00-00					
Saint-Auban	Jacques-Antoine  Saint-Auban marquis de Saint-Auban  Jacques-Antoine Baratier, marquis de Saint-Auban	Male	1712	1712-00-00			1783	1783-00-00					
Saint-Florentin	Louis (III) Saint-Florentin comte de Saint-Florentin, puis duc de La Vrillière Louis (III) Phélypeaux	Male	1705	1705-00-00			1777	1777-00-00			government official		
Saint-Pierre	Jacques-Henri-Bernardin Saint-Pierre::Jacques-Henri-Bernard de Saint-Pierre, Bernardin de St. Pierre	Male	1737	1737-00-00			1814	1814-00-00			writer and botanist	Le Havre, France	Éragny, France
Salignac de La Mothe-Fénelon	Léon-François-Ferdinand Salignac de La Mothe-Fénelon évêque de Lombez 	Male	c.1720	1720-00-00			1787	1787-00-00			bishop of Lombez		
Saltykov	Segueï  Saltykov::Segueï Vassilievitch	Male	1700	1700-00-00			1772	1772-00-00					
Saluzzo	Giuseppe Angelo Saluzzo  conte di Menusiglio 	Male	1734	1734-00-00			1810	1810-00-00					
Sanches (Sanchez)	Antonio Nunes  Sanches (Sanchez)::Antonio Nunes Ribeiro Sanches,Antonio Nunes Ribeiro Sanchez	Male	1699	1699-00-00			1783	1783-00-00					
Sarconi (Sarcone)	Michele Sarconi (Sarcone)::Michele Sarconi, Michele Sarcone	Male	1731	1731-00-00			1797	1797-00-00					
Sartine	Antoine-Raymond-Jean-Gualbert-Gabriel Sartine comte d'Alby Antoine Raymond Jean Gualbert Gabriel de Sartine, comte d'Alby	Male	1729	1729-00-00			1801	1801-00-00			government official	Barcelona, Spain	
Sauri	Jean Sauri abbé Sauri 	Male	1741	1741-00-00			1785	1785-00-00					
Sauseuil	Jean-Nicolas Sauseuil chevalier Jean-Nicolas Jouin de Sauseuil 	Male	1731	1731-00-00			?						
Scheffer	Karl Frederik  Scheffer baron Scheffer 	Male	1715	1715-00-00			1786	1786-00-00			diplomat, ambassador in Paris	Nyköping, Sweden	
Sedaine	Michel-Jean Sedaine	Male	1719	1719-00-00			1797	1797-00-00					
Servan	Joseph-Michel-Antoine Servan	Male	1737	1737-00-00			1807	1807-00-00			orator and magistrate	Romans, France	
Sherlock	Martin Sherlock	Male	c.1745	1745-00-00			1797	1797-00-00					
Solignac	Pierre-Joseph Solignac chevalier de Solignac, Pierre-Joseph de la Pimpie, chevalier de Solignac Pierre-Joseph de La Pimpie	Male	1687	1687-00-00			1773	1773-00-00			secretary of the king of  Poland, duc of Lorraine	Montpellier, France	
Soufflot	Jacques-Germain Soufflot	Male	1713	1713-00-00			1780	1780-00-00			architect, director of the Royal Academy of Lyon	Irancy, near Auxerre, France	Paris, France
Staatman	Frederik Staatman	Male											
Stanislas II Auguste	Stanislas II Auguste Stanislas II Auguste roi de Pologne Stanislas II Auguste Poniatowski, Stanis_aw August Poniatowski	Male	1732	1732-00-00			1798	1798-00-00			King of Poland ( 25 November 1764 – 7 January 1795)	Wo_czyn, present day Belarus	Saint Petersburg, Russia
Stonington	Edward Stonington 	Male											
Stoupe	Jean-Georges-Antoine Stoupe	Male	1736 ?	1736-00-00			1808	1808-00-00					
Suard Amélie	Amélie  Suard épouse de Jean-Baptiste Suard Amélie Panckoucke	Female	1750	1750-00-00			1830	1830-00-00			author, salon hostess	Lille, France	
Suard Jean-Baptiste-Antoine	Jean-Baptiste-Antoine Suard 	Male	1733	1733-00-00			1817	1817-00-00			journalist, translator and man of letters	Besançon, France	
Suard		Male											
Séguier	Jean-François Séguier	Male	1703	1703-00-00			1784	1784-00-00					
Thibault	Charles-Marie Thibault ::dit Thibault de Longecour après son mariage en 1773	Male	1740	1740-00-00			après 1786						
Thomasseau de Cursay	Jean-Marie-Joseph Thomasseau de Cursay abbé Thomasseau de Cursay 	Male	1707	1707-00-00			1781	1781-00-00					
Thun (Toune)	Johann Thun (Toune) Graf von Thun, baron de Toune Thun, Toune	Male	1711	1711-00-00			1788	1788-00-00					
Tinseau	Jean-Antoine Tinseau	Male	1697	1697-00-00			1782	1782-00-00					
Tollius	Herman Tollius	Male	1742	1742-00-00			1822	1822-00-00					
Tolomas	Charles-Pierre-Xavier Tolomas	Male	1705	1705-00-00			1762	1762-00-00			professeur of belles lettres, jésuite	Avignon, France	Avignon, France
Torné	Pierre-Anastase Torné	Male	1727	1727-00-00			1797	1797-00-00					
Tournon	 Tournon  Mlle de Tournon, candidate au prix de poésie de 1782  	Female	c.1764	1764-00-00			?				poet		
Tressan	Louis-Elisabeth Tressan comte de Tressan Louis-Elisabeth de La Vergne, comte de Tressan	Male	1705	1705-00-00			1783	1783-00-00			soldier, physician, scientist, medievalist and writer	Le Mans, France	Saint-Leu-la-Forêt, France
Tronchin	Théodore Tronchin	Male	1709	1709-00-00			1781	1781-00-00			physician	Geneva, Switzerland	
Trudaine	Jean-Charles-Philibert Trudaine de Montigny::Jean-Charles-Philibert de Trudaine de Montigny	Male	1733	1733-00-00			1777	1777-00-00					
Turgot	Anne-Robert-Jacques Turgot Baron de Laune  Baron de Laune	Male	1727	1727-00-00			1781	1781-00-00			economist and government official	Paris, France	Paris, France
Un Académicien	 Un académicien	Male									academician		
Un collaborateur de l'Encyclopédie	 Un collaborateur de l'Encyclopédie	Male											
Un correspondant breton	 Un correspondant breton	Male											
Un libraire	 Un libraire	Male									librarian		
Un ministre	 Un ministre	Male									minister		
Un médecin	 Un médecin	Male									doctor		
Un professeur de mathématique d'Auxerre	 Un professeur de mathématique d'Auxerre	Male									professor of mathematics		
Van Der Meersch	Abraham Arent Van Der Meersch	Male	1720	1720-00-00			1792	1792-00-00					
Van Goens	Rijklof Michaël Van Goens	Male	1748	1748-00-00			1810	1810-00-00					
Varennes	 Varennes auteur de vers 	Male									poet		
Vausenville (Vaussenville)	Alexandre-Henri-Guillaume Vausenville (Vaussenville)::Alexandre-Henri-Guillaume Le Rohbergherr de Vausenville, Alexandre-Henri-Guillaume Le Rohbergherr de Vaussenville	Male	1722	1722-00-00			?						
Vergennes	Charles Vergennes comte de Vergennes Charles Gravier, comte de Vergennes	Male	1719	1719-00-00			1787	1787-00-00			government official and diplomat	Dijon, France	Versailles, France
Vermeil	François-Michel Vermeil	Male	1732	1732-00-00			1810	1810-00-00					
Vernes	Jacob Vernes	Male	1728	1728-00-00			1791	1791-00-00					
Viaud de Belair	Pierre-Jacques-Calixte Viaud de Belair	Male	1760	1760-00-00			1827	1827-00-00					
Vichy-Chamrond	Claude-Marie-Josèphe Vichy-Chamrond épouse du comte Abel-Claude-Marie-Cécile de Vichy-Chamrond Claude-Marie-Josèphe de Saint-Georges	Female	1742	1742-00-00			1775	1775-00-00					
Vicq d'Azyr	Félix Vicq d'Azyr	Male	1748	1748-00-00			1794	1794-00-00			physician and anatomist	Valognes, France	
Vigée	Marie-Louise-Elisabeth Vigée épouse de Jean-Baptiste-Pierre Lebrun Élisabeth Vigée-Lebrun, Marie-Louise-Élisabeth Vigée-Lebrun	Female	1755	1755-00-00			1846	1846-00-00			painter	Paris, France	Paris, France
Villahermosa	Juan Pablo Aragon y Azlor Villahermosa duc de Villahermosa 	Male	1730	1730-00-00			1790	1790-00-00				Pedrola, Spain	Madrid, Spain
Villemain d'Abancourt	François-Jean Villemain d'Abancourt	Male	1745	1745-00-00			1803	1803-00-00			poet, author, playwright	Paris, France	
Villette	Charles-Michel Villette marquis de Villette Charles-Michel Du Plessis, marquis de Villette	Male	1736	1736-00-00			1793	1793-00-00					
Vimeux	Charles Vimeux ::Charles de Vimeux	Male	c.1770	1770-00-00			1841	1841-00-00					
Voglie (Bentivoglio)	Jean Voglie (Bentivoglio)::Jean de Voglie, Jean de Bentivoglio	Male	c.1723	1723-00-00			1777	1777-00-00					
Voimerville	 Voimerville	Male											
Voltaire	 Voltaire::François Marie Arouet dit Voltaire, François-Marie Arouet de Voltaire	Male	1694	1694-00-00			1778	1778-00-00			writer, philosopher, playwright	Paris, France	Paris, France
Voronzov	Aleksandr  Voronzov::Aleksandr Romanovitch	Male	1714	1714-00-00			1805	1805-00-00					
Watelet	Claude-Henri Watelet	Male	1718	1718-00-00			1786	1786-00-00			fermier-général, writer on the arts and a connoisseur of gardens	Paris, France	
Wielhorski	Michael Wielhorski comte Michael Wielhorski 	Male	c.1753	1753-00-00			1804	1804-00-00					
un dramaturge italien	 Un dramaturge italien	Male									playwright		
une marquise	 Une marquise	Female											
Öttingen-Wallerstein	Charlotte Juliane Therese Öttingen-Wallerstein épouse de Philipp Karl Domenicus Graf zu Öttingen-Wallerstein Charlotte Juliane Therese Gräfin zu Öttingen-Baldern	Female	1728	1728-00-00			1781	1781-00-00					
